company_order,company_code,company_name,object,reuse_result,records,finding,schema_change
9,301606,绿联科技,companies,DIRECT_REUSE,1,公司层金额、轮次、PE/VC和披露边界均可直接表达。,NO
9,301606,绿联科技,financing_events,DIRECT_REUSE,9,同月两次定向发行可由event_id与event_sequence区分。,NO
9,301606,绿联科技,transactions,DIRECT_REUSE,10,增资、定向发行、转让、整体变更和转增均有现成枚举。,NO
9,301606,绿联科技,entities,DIRECT_REUSE_WITH_RULE_NOTE,12,高瓴直接载体与底层基金关系需要证据化说明，但现有PEVC状态足够。,NO
9,301606,绿联科技,transaction_parties,DIRECT_REUSE,18,INVESTOR、TRANSFEROR和TRANSFEREE角色能够覆盖。,NO
9,301606,绿联科技,evidence,DIRECT_REUSE,12,页码、正文页、图表类型与支持字段均可追溯。,NO
9,301606,绿联科技,numeric_validation,DIRECT_REUSE,9,能够处理披露价格四舍五入造成的小额差异。,NO
9,301606,绿联科技,investment_paths,DIRECT_REUSE,12,同一PE/VC的受让进入与后续增资进入可分路径表达。,NO
9,301606,绿联科技,validation_issues,DIRECT_REUSE,3,实体判断、日期边界和变量解释限制均可记录。,NO
10,688726,拉普拉斯,companies,DIRECT_REUSE_WITH_LIMITATION,1,金额状态与disclosure_limitation可表达观察窗缺口。,NO
10,688726,拉普拉斯,financing_events,DIRECT_REUSE,22,11轮增资、同月多轮和整体变更均可表达。,NO
10,688726,拉普拉斯,transactions,DIRECT_REUSE,46,复合事件可拆成转让与增资交易。,NO
10,688726,拉普拉斯,entities,DIRECT_REUSE_WITH_RULE_NOTE,78,29名备案基金与非备案平台可用五级PE/VC状态区分。,NO
10,688726,拉普拉斯,transaction_parties,DIRECT_REUSE,126,多投资人、多转让方角色完整覆盖。,NO
10,688726,拉普拉斯,evidence,DIRECT_REUSE,24,事件、基金备案和早期缺口证据可追溯。,NO
10,688726,拉普拉斯,numeric_validation,DIRECT_REUSE,31,资本勾稽、投资人金额求和和转让合计均可校验。,NO
10,688726,拉普拉斯,investment_paths,DIRECT_REUSE,85,直接增资与老股受让路径均可表达。,NO
10,688726,拉普拉斯,validation_issues,DIRECT_REUSE,4,观察窗、复合事件、同月多轮和实体分类边界均可记录。,NO
