company_id,company_name,variable_id,variable_name_cn,construct,priority,unit,value,availability_status,calculation_logic,warning,evidence_boundary,source_release
301563,云汉芯城,CV001,上市前直接股权融资发生标记,融资经历,A核心,0/1,1,VALID,financing_round_count=7，据此生成二元标记。,,companies:301563,Week9_v1.0_frozen
301563,云汉芯城,CV002,上市前直接股权融资轮数,融资频度,A核心,轮,7,VALID,公司冻结轮次=7；事件层TRUE计数=7。,,companies:301563; CE-002-02; CE-004; CE-005; CE-007; CE-012; CE-013-01; CE-010-01,Week9_v1.0_frozen
301563,云汉芯城,CV003,可核验融资金额下限,融资规模,A核心,万元人民币,27120,VALID,读取公司层冻结金额；状态=KNOWN_LOWER_BOUND。,,companies:301563,Week9_v1.0_frozen
301563,云汉芯城,CV004,融资金额下限对数,融资规模,B扩展,ln(1+万元),10.208063614530875,VALID,LN(1+公司层融资金额下限)。,,companies:301563,Week9_v1.0_frozen
301563,云汉芯城,CV005,已知金额轮次均值,单轮融资规模,A核心,万元人民币/已知轮,9000,VALID,基于3个非null融资轮金额计算已知轮次金额均值。,,CE-012; CE-013-01; CE-010-01,Week9_v1.0_frozen
301563,云汉芯城,CV006,已知金额轮次中位数,单轮融资规模,B扩展,万元人民币/已知轮,7000,VALID,基于3个非null融资轮金额计算已知轮次金额中位数。,,CE-012; CE-013-01; CE-010-01,Week9_v1.0_frozen
301563,云汉芯城,CV007,最大已知单轮融资金额,融资峰值,B扩展,万元人民币,15000,VALID,基于3个非null融资轮金额计算最大已知轮次金额。,,CE-012; CE-013-01; CE-010-01,Week9_v1.0_frozen
301563,云汉芯城,CV008,最大已知轮金额占比,融资集中度,B扩展,0–1,0.5555555555555556,VALID,最大已知轮金额/已知事件锚点金额合计。,,CE-012; CE-013-01; CE-010-01,Week9_v1.0_frozen
301563,云汉芯城,CV009,融资时间跨度,融资节奏,A核心,月,129,VALID,使用6个可用年月计算最晚减最早。,,CE-002-02; CE-004; CE-005; CE-007; CE-012; CE-013-01,Week9_v1.0_frozen
301563,云汉芯城,CV010,融资轮次间隔中位数,融资节奏,B扩展,月,7,VALID,对5个相邻月份差取中位数。,,CE-002-02; CE-004; CE-005; CE-007; CE-012; CE-013-01,Week9_v1.0_frozen
301563,云汉芯城,CV011,确认PE/VC参与标记,PEVC参与,A核心,0/1,1,VALID,confirmed_pevc_legal_entity_count=12。,,companies:301563,Week9_v1.0_frozen
301563,云汉芯城,CV012,确认PE/VC法律主体数,PEVC参与,A核心,个,12,VALID,读取公司层冻结确认PE/VC法律主体数。,,companies:301563,Week9_v1.0_frozen
301563,云汉芯城,CV013,确认PE/VC占直接主体比重,PEVC参与,B扩展,0–1,0.34285714285714286,VALID,确认PE/VC法律主体数/直接参与法律主体数。,,companies:301563,Week9_v1.0_frozen
301563,云汉芯城,CV014,确认PE/VC参与融资轮数,PEVC参与深度,B扩展,轮,5,VALID,连接融资轮→交易→party→PEVC_CONFIRMED，并按event_id去重。,,TRX-301563-INC-002-P02; TRX-301563-INC-002-P03; TRX-301563-INC-003-P02; TRX-301563-INC-003-P03; TRX-301563-INC-005-P05; TRX-301563-INC-005-P06; TRX-301563-INC-006-P01; TRX-301563-INC-006-P03; TRX-301563-INC-006-P05; TRX-301563-INC-006-P06; TRX-301563-INC-009-P02,Week9_v1.0_frozen
