company_order,company_code,company_name,check_id,check_item,actual,expected,status,basis
9,301606,绿联科技,C01,第九家公司记录,1,1,PASS,公司代码301606
9,301606,绿联科技,C02,融资轮数,5,5,PASS,Week7/8统一口径
9,301606,绿联科技,C03,发行人融资金额合计,32838.569999,32838.569999,PASS,5轮金额求和
9,301606,绿联科技,C04,老股转让未并入融资,30000,30000,PASS,两笔转让
9,301606,绿联科技,C05,确认PE/VC主体,2,2,PASS,高瓴锡恒、坚果核力
9,301606,绿联科技,C06,9张标准表均生成,9,9,PASS,Week8 Schema v1.0
9,301606,绿联科技,C07,32个变量均完成判断,32,32,PASS,Week9冻结变量字典
9,301606,绿联科技,C08,可计算变量,32,32,PASS,绿联披露覆盖
9,301606,绿联科技,C09,数值校验无FAIL,0,0,PASS,容差规则
9,301606,绿联科技,C10,Schema变更需求,0,0,PASS,9表复用判断
9,301606,绿联科技,C11,必填字段错误,0,0,PASS,Schema required_level
9,301606,绿联科技,C12,枚举值错误,0,0,PASS,Schema allowed_values
9,301606,绿联科技,C13,外键错误,0,0,PASS,event/transaction/entity/evidence关系
9,301606,绿联科技,C14,九家公司合并记录,9,9,PASS,Week8冻结层加Week11扩展层
9,301606,绿联科技,C15,合并层标准表数量,9,9,PASS,沿用Week8 Schema v1.0
9,301606,绿联科技,C16,合并层主键重复,0,0,PASS,9张表逐表检查主键
9,301606,绿联科技,C17,合并层新增外键错误,0,0,PASS,冻结层既有例外不扩大
10,688726,拉普拉斯,C01,第十家公司记录,1,1,PASS,688726
10,688726,拉普拉斯,C02,可核验融资轮数,11,11,PASS,2020—2022观察窗
10,688726,拉普拉斯,C03,可核验发行人融资金额,167442.1046,167442.1046,PASS,11轮金额求和
10,688726,拉普拉斯,C04,老股转让交易数,32,32,PASS,逐笔拆分
10,688726,拉普拉斯,C05,可核验老股转让对价,44483.3918,44483.3918,PASS,32笔求和
10,688726,拉普拉斯,C06,确认PE/VC主体,29,29,PASS,招股书基金备案表
10,688726,拉普拉斯,C07,9张标准表均生成,9,9,PASS,Week8 Schema v1.0
10,688726,拉普拉斯,C08,32变量均完成判断,32,32,PASS,Week9冻结变量字典
10,688726,拉普拉斯,C09,数值校验无FAIL,0,0,PASS,容差规则
10,688726,拉普拉斯,C10,Schema强制变更需求,0,0,PASS,9表复用判断
10,688726,拉普拉斯,C11,必填字段错误,0,0,PASS,Schema required_level
10,688726,拉普拉斯,C12,枚举值错误,0,0,PASS,Schema allowed_values
10,688726,拉普拉斯,C13,扩展层外键错误,0,0,PASS,event/transaction/entity关系
10,688726,拉普拉斯,C14,十家公司合并记录,10,10,PASS,Week11第九家公司+同周第十家公司扩展
10,688726,拉普拉斯,C15,合并层标准表数量,9,9,PASS,Week8 Schema v1.0
10,688726,拉普拉斯,C16,合并层主键重复,0,0,PASS,逐表主键检查
10,688726,拉普拉斯,C17,合并层新增外键错误,0,0,PASS,既有例外不扩大
